full_tax	verbatimIdentification	old_taxonRank	old name	scientificName	scientificNameID	kingdom	phylum	class	order	family	genus	taxonRank
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Paraphysomonadales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas_sp.;	Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Paraphysomonadales;Paraphysomonadaceae;Paraphysomonas;Paraphysomonas_sp.;	species	Paraphysomonas	Paraphysomonas	urn:lsid:marinespecies.org:taxname:291417	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Paraphysomonadaceae	Paraphysomonas	Genus
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;Gonyaulax_polygramma;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Gonyaulacaceae;Gonyaulax;Gonyaulax_polygramma;		aphiaID	Gonyaulax polygramma	urn:lsid:marinespecies.org:taxname:110035	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Gonyaulax	Species
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae	family	Mamiellaceae	Mamiellaceae	urn:lsid:marinespecies.org:taxname:17663	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae		Family
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Blastodiniaceae;Blastodinium;Blastodinium_galatheanum;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Blastodiniaceae;Blastodinium;Blastodinium_galatheanum;		aphiaID	Blastodinium galatheanum	urn:lsid:marinespecies.org:taxname:623673	Chromista	Myzozoa	Dinophyceae	Blastodiniales	Blastodinidae	Blastodinium	Species
Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida	Eukaryota;TSAR;Alveolata;Apicomplexa;Coccidiomorphea;Eimeriida	subdivision	Apicomplexa	Apicomplexa	urn:lsid:marinespecies.org:taxname:22565	Chromista	Myzozoa					Subphylum
Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Hemiarthrus;Hemiarthrus_abdominalis;	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Malacostraca;Hemiarthrus;Hemiarthrus_abdominalis;		aphiaID	Hemiarthrus abdominalis	urn:lsid:marinespecies.org:taxname:118217	Animalia	Arthropoda	Malacostraca	Isopoda	Bopyridae	Hemiarthrus	Species
Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Euduboscquella;Euduboscquella_cachoni;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Euduboscquella;Euduboscquella_cachoni;	genus	Euduboscquella	Euduboscquella	urn:lsid:marinespecies.org:taxname:1369369	Chromista	Myzozoa	Dinophyceae	Coccidiniales	Euduboscquellaceae	Euduboscquella	Genus
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium_tamiyavanichii;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium;Alexandrium_tamiyavanichii;		aphiaID	Alexandrium tamiyavanichii	urn:lsid:marinespecies.org:taxname:233473	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	Species
Eukaryota;Cryptista;Kathablepharidacea;Kathablepharida;Kathablepharidea;Kathablepharidida;Kathablepharidida_X;Leucocryptos;Leucocryptos_marina;	Eukaryota;Cryptista;Kathablepharidacea;Kathablepharida;Kathablepharidea;Kathablepharidida;Kathablepharidida_X;Leucocryptos;Leucocryptos_marina;		aphiaID	Leucocryptos marina	urn:lsid:marinespecies.org:taxname:119077	Chromista	Cryptophyta	Cryptophyta incertae sedis		Katablepharidaceae	Leucocryptos	Species
Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea	Eukaryota;Obazoa;Opisthokonta;Choanoflagellata;Choanoflagellatea	class	Choanoflagellatea	Choanoflagellatea	urn:lsid:marinespecies.org:taxname:580116	Protozoa	Choanozoa	Choanoflagellatea				Class
