full_tax	verbatimIdentification	old_taxonRank	old name	scientificName	scientificNameID	kingdom	phylum	class	order	family	genus	taxonRank
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida;Oligotrichida_X;Oligotrichida_XX;Oligotrichida_XX_sp.;	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Oligotrichida;Oligotrichida_X;Oligotrichida_XX;Oligotrichida_XX_sp.;	order	Oligotrichida	Oligotrichida	urn:lsid:marinespecies.org:taxname:595083	Chromista	Ciliophora	Oligotrichea	Oligotrichida			Order
Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes	Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes	family	Tremellomycetes	Tremellomycetes	urn:lsid:marinespecies.org:taxname:437249	Fungi	Basidiomycota	Tremellomycetes				Class
Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Collosphaeridae;Siphonosphaera;Siphonosphaera_cyathina;	Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Collosphaeridae;Siphonosphaera;Siphonosphaera_cyathina;	family	Collosphaeridae	Collosphaeridae	urn:lsid:marinespecies.org:taxname:367309	Chromista	Radiozoa	Polycystina	Nassellaria	Collozoidae		Subfamily
Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-30;Dino-Group-II-Clade-30_X;Dino-Group-II-Clade-30_X_sp.;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-30;Dino-Group-II-Clade-30_X;Dino-Group-II-Clade-30_X_sp.;	class	Syndiniales	Syndiniales	urn:lsid:marinespecies.org:taxname:146213	Chromista	Myzozoa	Dinophyceae	Syndiniales			Order
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Watanabea-Clade;Watanabea-Clade_X;Chloroidium	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Trebouxiophyceae;Watanabea-Clade;Watanabea-Clade_X;Chloroidium	genus	Chloroidium	Chloroidium	urn:lsid:marinespecies.org:taxname:601459	Plantae	Chlorophyta	Trebouxiophyceae	Watanabeales	Watanabeaceae	Chloroidium	Genus
Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Scolecithricella;Scolecithricella_longispinosa;	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Scolecithricella;Scolecithricella_longispinosa;		aphiaID	Scolecithricella longispinosa	urn:lsid:marinespecies.org:taxname:355510	Animalia	Arthropoda	Copepoda	Calanoida	Scolecitrichidae	Scolecithricella	Species
Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca;Gastropoda;Caenogastropoda;Nassarius;Nassarius_festivus;	Eukaryota;Obazoa;Opisthokonta;Metazoa;Mollusca;Gastropoda;Caenogastropoda;Nassarius;Nassarius_festivus;		aphiaID	Nassarius festivus	urn:lsid:marinespecies.org:taxname:560198	Animalia	Mollusca	Gastropoda	Neogastropoda	Nassariidae	Nassarius	Species
Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Diplonemidae	Eukaryota;Excavata;Discoba;Euglenozoa;Diplonemea;Diplonemida;Diplonemidae	family	Diplonemidae	Diplonemidae	urn:lsid:marinespecies.org:taxname:1736280	Protozoa	Euglenozoa	Diplonemea	Diplonemida	Diplonemidae		Family
Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X;Haliphthorales;Haliphthorales_X;Haliphthorales_X_sp.;	Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X;Haliphthorales;Haliphthorales_X;Haliphthorales_X_sp.;	supergroup	TSAR	Biota	urn:lsid:marinespecies.org:taxname:1							
Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X;Peronosporomycetes_XX;Peronosporomycetes_XXX;Peronosporomycetes_XXX_sp.;	Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X;Peronosporomycetes_XX;Peronosporomycetes_XXX;Peronosporomycetes_XXX_sp.;	supergroup	TSAR	Biota	urn:lsid:marinespecies.org:taxname:1							
Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4;Amoebophrya;Amoebophrya_ceratii;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4;Amoebophrya;Amoebophrya_ceratii;		aphiaID	Amoebophrya ceratii	urn:lsid:marinespecies.org:taxname:109578	Chromista	Myzozoa	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Species
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa	Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa	genus	Protaspa	Protaspa	urn:lsid:marinespecies.org:taxname:742629	Chromista	Cercozoa	Thecofilosea	Cryomonadida	Protaspidae	Protaspa	Genus
Eukaryota:nucl;Cryptista:nucl;Cryptophyta:nucl;Cryptophyta_X:nucl;Cryptophyceae:nucl;Cryptomonadales:nucl;Cryptomonadales_X:nucl;Cryptomonas:nucl;Cryptomonas_commutata:nucl;	Eukaryota:nucl;Cryptista:nucl;Cryptophyta:nucl;Cryptophyta_X:nucl;Cryptophyceae:nucl;Cryptomonadales:nucl;Cryptomonadales_X:nucl;Cryptomonas:nucl;Cryptomonas_commutata:nucl;		aphiaID	Cryptomonas commutata	urn:lsid:marinespecies.org:taxname:623129	Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Species
Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-33;Dino-Group-II-Clade-33_X;Dino-Group-II-Clade-33_X_sp.;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-33;Dino-Group-II-Clade-33_X;Dino-Group-II-Clade-33_X_sp.;	class	Syndiniales	Syndiniales	urn:lsid:marinespecies.org:taxname:146213	Chromista	Myzozoa	Dinophyceae	Syndiniales			Order
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Sagenista_X;MAST-8	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Sagenista_X;MAST-8	class	Sagenista	Sagenista	urn:lsid:marinespecies.org:taxname:449152	Chromista	Bigyra					Subphylum
Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptomonadales;Cryptomonadales_X;Proteomonas;Proteomonas_sp.;	Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptomonadales;Cryptomonadales_X;Proteomonas;Proteomonas_sp.;	species	Proteomonas	Proteomonas	urn:lsid:marinespecies.org:taxname:573955	Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Proteomonas	Genus
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloroparvula;Chloroparvula_B2_sp.;	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Chloropicophyceae;Chloropicales;Chloropicaceae;Chloroparvula;Chloroparvula_B2_sp.;	genus	Chloroparvula	Chloroparvula	urn:lsid:marinespecies.org:taxname:1361157	Plantae	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloroparvula	Genus
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Akashiwo;Akashiwo_sanguinea;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Gymnodiniaceae;Akashiwo;Akashiwo_sanguinea;		aphiaID	Akashiwo sanguinea	urn:lsid:marinespecies.org:taxname:232546	Chromista	Myzozoa	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	Species
Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X	Eukaryota;TSAR;Stramenopiles;Gyrista;Peronosporomycetes;Peronosporomycetes_X	supergroup	TSAR	Biota	urn:lsid:marinespecies.org:taxname:1							
Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Spumellaria;Pyloniidae	Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Spumellaria;Pyloniidae	family	Pyloniidae	Pyloniidae	urn:lsid:marinespecies.org:taxname:345902	Chromista	Radiozoa	Polycystina	Spumellaria	Pyloniidae		Family
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;Bicoecea_X;Bicoecea_XX;Bicoecea_XXX;Bicoecea_XXX_sp.;	Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;Bicoecea_X;Bicoecea_XX;Bicoecea_XXX;Bicoecea_XXX_sp.;	class	Bicoecea	Bicoecea	urn:lsid:marinespecies.org:taxname:590695	Chromista	Bigyra	Bicoecea				Class
Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;Penicillium	Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Eurotiomycetes;Penicillium	genus	Penicillium	Penicillium	urn:lsid:marinespecies.org:taxname:100236	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Penicillium	Genus
Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Ophelina;Ophelina_acuminata;	Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Ophelina;Ophelina_acuminata;		aphiaID	Ophelina acuminata	urn:lsid:marinespecies.org:taxname:130500	Animalia	Annelida	Polychaeta		Opheliidae	Ophelina	Species
Eukaryota;Haptista;Haptophyta;Haptophyta_X;Haptophyta_XX;Haptophyta_XXX;Haptophyta_XXXX;Haptophyta_XXXXX;Haptophyta_XXXXX_sp.;	Eukaryota;Haptista;Haptophyta;Haptophyta_X;Haptophyta_XX;Haptophyta_XXX;Haptophyta_XXXX;Haptophyta_XXXXX;Haptophyta_XXXXX_sp.;	division	Haptophyta	Haptophyta	urn:lsid:marinespecies.org:taxname:369190	Chromista	Haptophyta					Phylum
Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Leptocylindraceae;Leptocylindrus;Leptocylindrus_aporus;	Eukaryota;TSAR;Stramenopiles;Gyrista;Mediophyceae;Chaetocerotales;Leptocylindraceae;Leptocylindrus;Leptocylindrus_aporus;	genus	Leptocylindrus	Leptocylindrus	urn:lsid:marinespecies.org:taxname:149038	Chromista	Bacillariophyta	Bacillariophyceae	Leptocylindrales	Leptocylindraceae	Leptocylindrus	Genus
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Pyrocystaceae;Alexandrium	genus	Alexandrium	Alexandrium	urn:lsid:marinespecies.org:taxname:109470	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Pyrocystaceae	Alexandrium	Genus
Eukaryota;TSAR;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachniophyceae_X;LC104-lineage;LC104-lineage_X;LC104-lineage_X_sp.;	Eukaryota;TSAR;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachniophyceae_X;LC104-lineage;LC104-lineage_X;LC104-lineage_X_sp.;	subdivision	Cercozoa	Cercozoa	urn:lsid:marinespecies.org:taxname:562852	Chromista	Cercozoa					Phylum
Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-32;Dino-Group-II-Clade-32_X;Dino-Group-II-Clade-32_X_sp.;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-32;Dino-Group-II-Clade-32_X;Dino-Group-II-Clade-32_X_sp.;	class	Syndiniales	Syndiniales	urn:lsid:marinespecies.org:taxname:146213	Chromista	Myzozoa	Dinophyceae	Syndiniales			Order
Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Kefersteinia;Kefersteinia_cirrata;	Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Kefersteinia;Kefersteinia_cirrata;	class	Annelida	Annelida	urn:lsid:marinespecies.org:taxname:882	Animalia	Annelida					Phylum
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium_sp.;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Protoperidiniaceae;Protoperidinium;Protoperidinium_sp.;	species	Protoperidinium	Protoperidinium	urn:lsid:marinespecies.org:taxname:109553	Chromista	Myzozoa	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Genus
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Peridiniales;Amphidomataceae;Azadinium	genus	Azadinium	Azadinium	urn:lsid:marinespecies.org:taxname:391508	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Amphidomataceae	Azadinium	Genus
Eukaryota;Obazoa;Opisthokonta;Metazoa;Craniata;Craniata_X	Eukaryota;Obazoa;Opisthokonta;Metazoa;Craniata;Craniata_X	class	Craniata	Craniata	urn:lsid:marinespecies.org:taxname:104019	Animalia	Brachiopoda	Craniata				Class
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Suessiaceae_X;Suessiaceae_X_sp.;	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiaceae;Suessiaceae_X;Suessiaceae_X_sp.;	family	Suessiaceae	Suessiaceae	urn:lsid:marinespecies.org:taxname:231813	Chromista	Myzozoa	Dinophyceae	Suessiales	Suessiaceae		Family
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chromulinales;Chromulinaceae;Oikomonas;Oikomonas_sp.;	Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae;Chromulinales;Chromulinaceae;Oikomonas;Oikomonas_sp.;	species	Oikomonas	Oikomonas	urn:lsid:marinespecies.org:taxname:601207	Chromista	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	Oikomonas	Genus
Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_bravo_B2;	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_bravo_B2;	genus	Micromonas	Micromonas	urn:lsid:marinespecies.org:taxname:134533	Plantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Genus
Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Protoceratiaceae;Ceratocorys	Eukaryota;TSAR;Alveolata;Dinoflagellata;Dinophyceae;Gonyaulacales;Protoceratiaceae;Ceratocorys	genus	Ceratocorys	Ceratocorys	urn:lsid:marinespecies.org:taxname:109507	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Ceratocoryaceae	Ceratocorys	Genus
Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_C;Acantharea_C1;Gigartacon_C1;Gigartacon_C1_muelleri;	Eukaryota;TSAR;Rhizaria;Radiolaria;Acantharea;Acantharea_C;Acantharea_C1;Gigartacon_C1;Gigartacon_C1_muelleri;	division	Rhizaria	Rhizaria	urn:lsid:marinespecies.org:taxname:582420	Chromista						Infrakingdom
Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonadaceae_clade_D1;Pelagomonadaceae_clade_D1_sp.;	Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae;Pelagomonadaceae_clade_D1;Pelagomonadaceae_clade_D1_sp.;	family	Pelagomonadaceae	Pelagomonadaceae	urn:lsid:marinespecies.org:taxname:345502	Chromista	Ochrophyta	Pelagophyceae	Pelagomonadales	Pelagomonadaceae		Family
Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes;Cladosporium	Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes;Cladosporium	genus	Cladosporium	Cladosporium	urn:lsid:marinespecies.org:taxname:100218	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Genus
Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Lophophaenidae	Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Lophophaenidae	order	Nassellaria	Nassellaria	urn:lsid:marinespecies.org:taxname:235741	Chromista	Radiozoa	Polycystina	Nassellaria			Order
Eukaryota;Obazoa;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Anthozoa;Lepidisis;Lepidisis_sp.;	Eukaryota;Obazoa;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Anthozoa;Lepidisis;Lepidisis_sp.;	species	Lepidisis	Lepidisis	urn:lsid:marinespecies.org:taxname:125307	Animalia	Cnidaria	Octocorallia	Scleralcyonacea	Keratoisididae	Lepidisis	Genus
Eukaryota;Haptista;Haptophyta;Haptophyta_X	Eukaryota;Haptista;Haptophyta;Haptophyta_X	division	Haptophyta	Haptophyta	urn:lsid:marinespecies.org:taxname:369190	Chromista	Haptophyta					Phylum
Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Thraustochytriaceae;Thraustochytriaceae_LAB17;Thraustochytriaceae_LAB17_sp.;	Eukaryota;TSAR;Stramenopiles;Bigyra;Sagenista;Labyrinthulomycetes;Thraustochytriaceae;Thraustochytriaceae_LAB17;Thraustochytriaceae_LAB17_sp.;	family	Thraustochytriaceae	Thraustochytriaceae	urn:lsid:marinespecies.org:taxname:22156	Chromista	Bigyra	Labyrinthulea	Thraustochytrida	Thraustochytriaceae		Family
Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes;Cryptococcus	Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Tremellomycetes;Cryptococcus	genus	Cryptococcus	Cryptococcus	urn:lsid:marinespecies.org:taxname:603997	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Cryptococcus	Genus
Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Sphaerozoidae;Collozoum;Collozoum_inerme;	Eukaryota;TSAR;Rhizaria;Radiolaria;Polycystinea;Nassellaria;Sphaerozoidae;Collozoum;Collozoum_inerme;		aphiaID	Collozoum inerme	urn:lsid:marinespecies.org:taxname:178830	Chromista	Radiozoa	Polycystina	Nassellaria	Collozoidae	Collozoum	Species
Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ebriacea;Ebriidae;Ebria;Ebria_tripartita;	Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Ebriacea;Ebriidae;Ebria;Ebria_tripartita;		aphiaID	Ebria tripartita	urn:lsid:marinespecies.org:taxname:118051	Chromista	Cercozoa	Thecofilosea	Ebriales	Ebriaceae	Ebria	Species
Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida-Tintinnina;Eutintinnidae;Eutintinnus;Eutintinnus_sp.;	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida-Tintinnina;Eutintinnidae;Eutintinnus;Eutintinnus_sp.;	species	Eutintinnus	Eutintinnus	urn:lsid:marinespecies.org:taxname:183543	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Eutintinnidae	Eutintinnus	Genus
Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae	Eukaryota;TSAR;Stramenopiles;Gyrista;Chrysophyceae	class	Chrysophyceae	Chrysophyceae	urn:lsid:marinespecies.org:taxname:146230	Chromista	Ochrophyta	Chrysophyceae				Class
Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4;Amoebophrya	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-4;Amoebophrya	genus	Amoebophrya	Amoebophrya	urn:lsid:marinespecies.org:taxname:109448	Chromista	Myzozoa	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	Genus
Eukaryota;Obazoa;Opisthokonta;Metazoa;Bryozoa;Bryozoa_X;Bryozoa_XX	Eukaryota;Obazoa;Opisthokonta;Metazoa;Bryozoa;Bryozoa_X;Bryozoa_XX	class	Bryozoa	Bryozoa	urn:lsid:marinespecies.org:taxname:146142	Animalia	Bryozoa					Phylum
Eukaryota;Obazoa;Opisthokonta;Metazoa;Urochordata;Urochordata_X;Ascidiacea	Eukaryota;Obazoa;Opisthokonta;Metazoa;Urochordata;Urochordata_X;Ascidiacea	family	Ascidiacea	Ascidiacea	urn:lsid:marinespecies.org:taxname:1839	Animalia	Chordata	Ascidiacea				Class
Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;Bicoecales;Bicoecaceae;Bicosoeca;Bicosoeca_vacillans;	Eukaryota;TSAR;Stramenopiles;Bigyra;Bicoecea;Bicoecales;Bicoecaceae;Bicosoeca;Bicosoeca_vacillans;	genus	Bicosoeca	Bicosoeca	urn:lsid:marinespecies.org:taxname:601409	Chromista	Bigyra	Bicosoecophyceae	Bicosoecales	Bicosoecaceae	Bicosoeca	Genus
Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Critomolgus;Critomolgus_sp.;	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Critomolgus;Critomolgus_sp.;	species	Critomolgus	Critomolgus	urn:lsid:marinespecies.org:taxname:128712	Animalia	Arthropoda	Copepoda	Cyclopoida	Rhynchomolgidae	Critomolgus	Genus
Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae	Eukaryota;TSAR;Stramenopiles;Gyrista;Pelagophyceae;Pelagomonadales;Pelagomonadaceae	family	Pelagomonadaceae	Pelagomonadaceae	urn:lsid:marinespecies.org:taxname:345502	Chromista	Ochrophyta	Pelagophyceae	Pelagomonadales	Pelagomonadaceae		Family
