full_tax	verbatimIdentification	old_taxonRank	old name	scientificName	scientificNameID	kingdom	phylum	class	order	family	genus	taxonRank
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Coxiellales; f__Coxiellaceae; g__Coxiella; s__metagenome	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Coxiellales; f__Coxiellaceae; g__Coxiella; s__metagenome	family	Coxiellaceae	Coxiellaceae	urn:lsid:marinespecies.org:taxname:570983	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae		Family
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Rubripirellula; s__uncultured_bacterium	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Pirellulales; f__Pirellulaceae; g__Rubripirellula; s__uncultured_bacterium	family	Pirellulaceae	Pirellulaceae	urn:lsid:marinespecies.org:taxname:1730077	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae		Family
d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae1; g__Alcanivorax	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Alcanivoracaceae1; g__Alcanivorax	genus	Alcanivorax	Alcanivorax	urn:lsid:marinespecies.org:taxname:393082	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Genus
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__Clade_II; s__marine_metagenome	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_II; g__Clade_II; s__marine_metagenome	class	Alphaproteobacteria	Alphaproteobacteria	urn:lsid:marinespecies.org:taxname:392750	Bacteria	Proteobacteria	Alphaproteobacteria				Class
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_marine	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__uncultured; f__uncultured; g__uncultured; s__uncultured_marine	class	Alphaproteobacteria	Alphaproteobacteria	urn:lsid:marinespecies.org:taxname:392750	Bacteria	Proteobacteria	Alphaproteobacteria				Class
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__AEGEAN-169_marine_group; g__AEGEAN-169_marine_group; s__uncultured_Alphaproteobacteria	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__AEGEAN-169_marine_group; g__AEGEAN-169_marine_group; s__uncultured_Alphaproteobacteria	order	Rhodospirillales	Rhodospirillales	urn:lsid:marinespecies.org:taxname:392751	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales			Order
d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__JL-ETNP-F27; s__Planctomycetes_bacterium	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales; f__Phycisphaeraceae; g__JL-ETNP-F27; s__Planctomycetes_bacterium	family	Phycisphaeraceae	Phycisphaeraceae	urn:lsid:marinespecies.org:taxname:565458	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae		Family
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium	genus	Bradyrhizobium	Bradyrhizobium	urn:lsid:marinespecies.org:taxname:571022	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Genus
d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__uncultured; s__marine_metagenome	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__uncultured; s__marine_metagenome	family	Rhodobacteraceae	Rhodobacteraceae	urn:lsid:marinespecies.org:taxname:393084	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		Family
d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__uncultured; s__uncultured_marine	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__Rubinisphaeraceae; g__uncultured; s__uncultured_marine	order	Planctomycetales	Planctomycetales	urn:lsid:marinespecies.org:taxname:565462	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales			Order
